prist/00012.mp4
forged/00012_020-144.mp4
frame, x1, y1, x2, y2
020, 876, 537, 1146, 714, 
021, 870, 534, 1140, 714, 
022, 867, 531, 1137, 714, 
023, 864, 528, 1134, 714, 
024, 861, 525, 1128, 714, 
025, 858, 522, 1125, 714, 
026, 855, 519, 1122, 714, 
027, 852, 519, 1119, 714, 
028, 849, 516, 1113, 714, 
029, 846, 513, 1110, 714, 
030, 843, 510, 1107, 714, 
031, 840, 507, 1101, 714, 
032, 837, 504, 1098, 714, 
033, 834, 501, 1095, 714, 
034, 831, 501, 1092, 714, 
035, 831, 501, 1092, 711, 
036, 831, 501, 1095, 711, 
037, 834, 501, 1095, 711, 
038, 834, 501, 1098, 711, 
039, 837, 501, 1098, 711, 
040, 837, 501, 1101, 711, 
041, 840, 501, 1101, 711, 
042, 840, 501, 1104, 711, 
043, 843, 504, 1104, 711, 
044, 843, 504, 1107, 711, 
045, 846, 504, 1107, 711, 
046, 846, 504, 1110, 711, 
047, 849, 504, 1110, 711, 
048, 849, 504, 1113, 711, 
049, 849, 504, 1113, 711, 
050, 852, 504, 1116, 711, 
051, 852, 504, 1116, 711, 
052, 855, 507, 1119, 711, 
053, 855, 507, 1119, 708, 
054, 858, 507, 1122, 708, 
055, 858, 507, 1122, 708, 
056, 861, 507, 1125, 708, 
057, 861, 507, 1125, 708, 
058, 864, 507, 1128, 708, 
059, 864, 507, 1128, 708, 
060, 867, 507, 1131, 708, 
061, 867, 510, 1131, 708, 
062, 867, 510, 1134, 708, 
063, 870, 510, 1134, 708, 
064, 870, 510, 1137, 708, 
065, 873, 510, 1137, 708, 
066, 873, 510, 1140, 708, 
067, 876, 510, 1140, 708, 
068, 876, 510, 1143, 708, 
069, 879, 510, 1143, 708, 
070, 879, 513, 1146, 708, 
071, 882, 513, 1146, 705, 
072, 882, 513, 1149, 705, 
073, 885, 513, 1149, 705, 
074, 885, 513, 1152, 705, 
075, 885, 513, 1152, 705, 
076, 888, 513, 1155, 705, 
077, 888, 513, 1155, 705, 
078, 891, 513, 1158, 705, 
079, 891, 516, 1158, 705, 
080, 894, 516, 1161, 705, 
081, 894, 516, 1161, 705, 
082, 897, 516, 1164, 705, 
083, 897, 516, 1164, 705, 
084, 900, 516, 1167, 705, 
085, 900, 516, 1167, 705, 
086, 903, 516, 1170, 705, 
087, 903, 516, 1170, 705, 
088, 906, 519, 1173, 705, 
089, 903, 519, 1170, 705, 
090, 903, 519, 1167, 705, 
091, 900, 519, 1164, 705, 
092, 900, 519, 1161, 705, 
093, 897, 519, 1158, 705, 
094, 897, 519, 1155, 705, 
095, 894, 519, 1152, 705, 
096, 894, 519, 1149, 708, 
097, 891, 519, 1146, 708, 
098, 891, 519, 1146, 708, 
099, 888, 519, 1143, 708, 
100, 888, 519, 1140, 708, 
101, 885, 519, 1137, 708, 
102, 885, 519, 1134, 708, 
103, 882, 519, 1131, 711, 
104, 882, 519, 1128, 711, 
105, 879, 519, 1125, 711, 
106, 879, 519, 1122, 711, 
107, 876, 519, 1119, 711, 
108, 876, 519, 1119, 711, 
109, 873, 519, 1116, 711, 
110, 873, 519, 1113, 714, 
111, 870, 519, 1110, 714, 
112, 870, 519, 1107, 714, 
113, 867, 519, 1104, 714, 
114, 867, 519, 1101, 714, 
115, 864, 519, 1098, 714, 
116, 864, 519, 1095, 714, 
117, 864, 519, 1095, 717, 
118, 867, 519, 1098, 714, 
119, 870, 522, 1101, 714, 
120, 873, 525, 1104, 714, 
121, 876, 528, 1107, 714, 
122, 882, 528, 1113, 714, 
123, 885, 531, 1116, 714, 
124, 888, 534, 1119, 714, 
125, 891, 537, 1122, 714, 
126, 897, 540, 1128, 714, 
127, 900, 540, 1131, 711, 
128, 903, 543, 1134, 711, 
129, 906, 546, 1137, 711, 
130, 909, 549, 1140, 711, 
131, 915, 549, 1146, 711, 
132, 918, 552, 1149, 711, 
133, 921, 555, 1152, 711, 
134, 924, 558, 1155, 711, 
135, 930, 561, 1161, 711, 
136, 933, 561, 1164, 708, 
137, 936, 564, 1167, 708, 
138, 939, 567, 1170, 708, 
139, 942, 570, 1173, 708, 
140, 948, 570, 1179, 708, 
141, 951, 573, 1182, 708, 
142, 954, 576, 1185, 708, 
143, 957, 579, 1188, 708, 
144, 963, 582, 1194, 708, 
