prist/00087.mp4
forged/00087_000-089-243-295.mp4
frame, x1, y1, x2, y2
000, 600, 246, 804, 702, 
001, 603, 243, 807, 699, 
002, 609, 243, 810, 699, 
003, 612, 243, 813, 699, 
004, 618, 243, 819, 699, 
005, 621, 243, 822, 699, 
006, 627, 243, 825, 699, 
007, 630, 243, 828, 696, 
008, 636, 243, 834, 696, 
009, 639, 243, 837, 696, 
010, 645, 243, 840, 696, 
011, 648, 243, 846, 696, 
012, 654, 243, 849, 696, 
013, 657, 243, 852, 696, 
014, 663, 243, 855, 693, 
015, 666, 243, 861, 693, 
016, 672, 243, 864, 693, 
017, 675, 243, 867, 693, 
018, 681, 243, 870, 693, 
019, 684, 243, 876, 693, 
020, 690, 243, 879, 690, 
021, 693, 243, 882, 690, 
022, 699, 240, 888, 690, 
023, 705, 240, 891, 690, 
024, 708, 240, 894, 690, 
025, 714, 240, 897, 690, 
026, 717, 240, 903, 690, 
027, 723, 240, 906, 687, 
028, 726, 240, 909, 687, 
029, 732, 240, 915, 687, 
030, 735, 240, 918, 687, 
031, 741, 240, 921, 687, 
032, 744, 240, 924, 687, 
033, 750, 240, 930, 684, 
034, 753, 240, 933, 684, 
035, 759, 240, 936, 684, 
036, 762, 240, 939, 684, 
037, 768, 240, 945, 684, 
038, 771, 240, 948, 684, 
039, 777, 240, 951, 684, 
040, 780, 240, 957, 681, 
041, 786, 240, 960, 681, 
042, 789, 240, 963, 681, 
043, 795, 240, 966, 681, 
044, 801, 237, 972, 681, 
045, 804, 237, 975, 681, 
046, 810, 237, 978, 678, 
047, 813, 237, 984, 678, 
048, 819, 237, 987, 678, 
049, 822, 237, 990, 678, 
050, 828, 237, 993, 678, 
051, 831, 237, 999, 678, 
052, 837, 237, 1002, 678, 
053, 840, 237, 1005, 675, 
054, 846, 237, 1008, 675, 
055, 849, 237, 1014, 675, 
056, 855, 237, 1017, 675, 
057, 858, 237, 1020, 675, 
058, 864, 237, 1026, 675, 
059, 867, 237, 1029, 672, 
060, 873, 237, 1032, 672, 
061, 876, 237, 1035, 672, 
062, 882, 237, 1041, 672, 
063, 885, 237, 1044, 672, 
064, 891, 237, 1047, 672, 
065, 897, 237, 1053, 672, 
066, 897, 237, 1053, 672, 
067, 897, 237, 1053, 672, 
068, 897, 237, 1053, 672, 
069, 897, 237, 1053, 672, 
070, 897, 237, 1053, 672, 
071, 897, 237, 1053, 672, 
072, 897, 237, 1053, 672, 
073, 897, 237, 1053, 672, 
074, 897, 237, 1053, 672, 
075, 897, 237, 1053, 672, 
076, 897, 237, 1053, 672, 
077, 897, 237, 1053, 672, 
078, 897, 237, 1053, 672, 
079, 897, 237, 1053, 672, 
080, 897, 237, 1053, 672, 
081, 897, 237, 1053, 672, 
082, 897, 237, 1053, 672, 
083, 897, 237, 1053, 672, 
084, 897, 237, 1053, 672, 
085, 897, 237, 1053, 672, 
086, 897, 237, 1053, 672, 
087, 897, 237, 1053, 672, 
088, 897, 237, 1053, 672, 
089, 897, 237, 1053, 672, 
243, 753, 225, 924, 651, 
244, 747, 222, 918, 651, 
245, 741, 222, 912, 651, 
246, 738, 222, 909, 651, 
247, 732, 222, 903, 651, 
248, 726, 222, 900, 651, 
249, 723, 222, 894, 651, 
250, 717, 222, 891, 651, 
251, 714, 222, 885, 651, 
252, 708, 222, 882, 654, 
253, 702, 222, 876, 654, 
254, 699, 222, 873, 654, 
255, 693, 222, 867, 654, 
256, 690, 222, 864, 654, 
257, 684, 222, 858, 654, 
258, 678, 222, 855, 654, 
259, 675, 222, 849, 654, 
260, 669, 222, 846, 654, 
261, 663, 219, 840, 657, 
262, 660, 219, 837, 657, 
263, 654, 219, 831, 657, 
264, 651, 219, 828, 657, 
265, 645, 219, 822, 657, 
266, 639, 219, 819, 657, 
267, 636, 219, 813, 657, 
268, 630, 219, 810, 657, 
269, 627, 219, 804, 660, 
270, 621, 219, 798, 660, 
271, 615, 219, 795, 660, 
272, 612, 219, 789, 660, 
273, 606, 219, 786, 660, 
274, 600, 219, 780, 660, 
275, 597, 219, 777, 660, 
276, 591, 219, 771, 660, 
277, 588, 219, 768, 660, 
278, 582, 216, 762, 663, 
279, 576, 216, 759, 663, 
280, 573, 216, 753, 663, 
281, 567, 216, 750, 663, 
282, 564, 216, 744, 663, 
283, 558, 216, 741, 663, 
284, 552, 216, 735, 663, 
285, 549, 216, 732, 663, 
286, 543, 216, 726, 663, 
287, 537, 216, 723, 666, 
288, 534, 216, 717, 666, 
289, 528, 216, 714, 666, 
290, 525, 216, 708, 666, 
291, 519, 216, 705, 666, 
292, 513, 216, 699, 666, 
293, 510, 216, 696, 666, 
294, 504, 216, 690, 666, 
295, 501, 216, 687, 669, 
