prist/00091.mp4
forged/00091_083-143-199-261.mp4
83 143 199 261
frame, x1, y1, x2, y2
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 0, 0, 0, 0
3, 0, 0, 0, 0
4, 0, 0, 0, 0
5, 0, 0, 0, 0
6, 0, 0, 0, 0
7, 0, 0, 0, 0
8, 0, 0, 0, 0
9, 0, 0, 0, 0
10, 0, 0, 0, 0
11, 0, 0, 0, 0
12, 0, 0, 0, 0
13, 0, 0, 0, 0
14, 0, 0, 0, 0
15, 0, 0, 0, 0
16, 0, 0, 0, 0
17, 0, 0, 0, 0
18, 0, 0, 0, 0
19, 0, 0, 0, 0
20, 0, 0, 0, 0
21, 0, 0, 0, 0
22, 0, 0, 0, 0
23, 0, 0, 0, 0
24, 0, 0, 0, 0
25, 0, 0, 0, 0
26, 0, 0, 0, 0
27, 0, 0, 0, 0
28, 0, 0, 0, 0
29, 0, 0, 0, 0
30, 0, 0, 0, 0
31, 0, 0, 0, 0
32, 0, 0, 0, 0
33, 0, 0, 0, 0
34, 0, 0, 0, 0
35, 0, 0, 0, 0
36, 0, 0, 0, 0
37, 0, 0, 0, 0
38, 0, 0, 0, 0
39, 0, 0, 0, 0
40, 0, 0, 0, 0
41, 0, 0, 0, 0
42, 0, 0, 0, 0
43, 0, 0, 0, 0
44, 0, 0, 0, 0
45, 0, 0, 0, 0
46, 0, 0, 0, 0
47, 0, 0, 0, 0
48, 0, 0, 0, 0
49, 0, 0, 0, 0
50, 0, 0, 0, 0
51, 0, 0, 0, 0
52, 0, 0, 0, 0
53, 0, 0, 0, 0
54, 0, 0, 0, 0
55, 0, 0, 0, 0
56, 0, 0, 0, 0
57, 0, 0, 0, 0
58, 0, 0, 0, 0
59, 0, 0, 0, 0
60, 0, 0, 0, 0
61, 0, 0, 0, 0
62, 0, 0, 0, 0
63, 0, 0, 0, 0
64, 0, 0, 0, 0
65, 0, 0, 0, 0
66, 0, 0, 0, 0
67, 0, 0, 0, 0
68, 0, 0, 0, 0
69, 0, 0, 0, 0
70, 0, 0, 0, 0
71, 0, 0, 0, 0
72, 0, 0, 0, 0
73, 0, 0, 0, 0
74, 0, 0, 0, 0
75, 0, 0, 0, 0
76, 0, 0, 0, 0
77, 0, 0, 0, 0
78, 0, 0, 0, 0
79, 0, 0, 0, 0
80, 0, 0, 0, 0
81, 0, 0, 0, 0
82, 0, 0, 0, 0
83, 318, 594, 584, 714
84, 326, 590, 592, 710
85, 332, 586, 598, 706
86, 338, 582, 604, 702
87, 344, 574, 610, 694
88, 350, 566, 616, 686
89, 358, 556, 624, 676
90, 364, 544, 630, 664
91, 356, 514, 632, 708
92, 360, 506, 636, 700
93, 362, 504, 638, 698
94, 372, 500, 648, 694
95, 384, 496, 662, 712
96, 394, 490, 672, 706
97, 402, 486, 680, 702
98, 412, 482, 690, 698
99, 424, 480, 702, 696
100, 438, 478, 716, 694
101, 450, 474, 728, 690
102, 462, 472, 740, 688
103, 476, 468, 754, 684
104, 492, 462, 770, 678
105, 508, 456, 786, 672
106, 520, 448, 798, 664
107, 554, 460, 800, 702
108, 566, 456, 812, 698
109, 578, 452, 824, 694
110, 590, 448, 836, 690
111, 600, 444, 846, 686
112, 612, 444, 858, 686
113, 620, 438, 866, 680
114, 630, 438, 876, 680
115, 636, 436, 882, 678
116, 644, 436, 890, 678
117, 652, 432, 898, 674
118, 662, 428, 908, 670
119, 668, 418, 914, 660
120, 662, 384, 874, 704
121, 668, 374, 880, 694
122, 676, 368, 888, 688
123, 684, 362, 896, 682
124, 692, 356, 904, 676
125, 700, 354, 912, 674
126, 708, 352, 920, 672
127, 716, 352, 928, 672
128, 724, 352, 936, 672
129, 736, 354, 948, 674
130, 746, 352, 958, 672
131, 756, 350, 968, 670
132, 768, 346, 980, 666
133, 782, 338, 994, 658
134, 796, 336, 1008, 656
135, 808, 330, 1020, 650
136, 820, 324, 1032, 644
137, 830, 320, 1042, 640
138, 840, 316, 1052, 636
139, 854, 312, 1066, 632
140, 852, 316, 1058, 698
141, 862, 314, 1068, 696
142, 870, 314, 1076, 696
143, 882, 312, 1088, 694
144, 0, 0, 0, 0
145, 0, 0, 0, 0
146, 0, 0, 0, 0
147, 0, 0, 0, 0
148, 0, 0, 0, 0
149, 0, 0, 0, 0
150, 0, 0, 0, 0
151, 0, 0, 0, 0
152, 0, 0, 0, 0
153, 0, 0, 0, 0
154, 0, 0, 0, 0
155, 0, 0, 0, 0
156, 0, 0, 0, 0
157, 0, 0, 0, 0
158, 0, 0, 0, 0
159, 0, 0, 0, 0
160, 0, 0, 0, 0
161, 0, 0, 0, 0
162, 0, 0, 0, 0
163, 0, 0, 0, 0
164, 0, 0, 0, 0
165, 0, 0, 0, 0
166, 0, 0, 0, 0
167, 0, 0, 0, 0
168, 0, 0, 0, 0
169, 0, 0, 0, 0
170, 0, 0, 0, 0
171, 0, 0, 0, 0
172, 0, 0, 0, 0
173, 0, 0, 0, 0
174, 0, 0, 0, 0
175, 0, 0, 0, 0
176, 0, 0, 0, 0
177, 0, 0, 0, 0
178, 0, 0, 0, 0
179, 0, 0, 0, 0
180, 0, 0, 0, 0
181, 0, 0, 0, 0
182, 0, 0, 0, 0
183, 0, 0, 0, 0
184, 0, 0, 0, 0
185, 0, 0, 0, 0
186, 0, 0, 0, 0
187, 0, 0, 0, 0
188, 0, 0, 0, 0
189, 0, 0, 0, 0
190, 0, 0, 0, 0
191, 0, 0, 0, 0
192, 0, 0, 0, 0
193, 0, 0, 0, 0
194, 0, 0, 0, 0
195, 0, 0, 0, 0
196, 0, 0, 0, 0
197, 0, 0, 0, 0
198, 0, 0, 0, 0
199, 1144, 222, 1228, 502
200, 1144, 222, 1228, 502
201, 1144, 222, 1228, 502
202, 1144, 222, 1228, 502
203, 1144, 222, 1228, 502
204, 1144, 222, 1228, 502
205, 1144, 222, 1228, 502
206, 1144, 222, 1228, 502
207, 1144, 222, 1228, 502
208, 1144, 222, 1228, 502
209, 1144, 222, 1228, 502
210, 1144, 222, 1228, 502
211, 1144, 222, 1228, 502
212, 1144, 222, 1228, 502
213, 1144, 222, 1228, 502
214, 1144, 222, 1228, 502
215, 1144, 222, 1228, 502
216, 1144, 222, 1228, 502
217, 1144, 222, 1228, 502
218, 1144, 222, 1228, 502
219, 1144, 222, 1228, 502
220, 1144, 222, 1228, 502
221, 1144, 222, 1228, 502
222, 1144, 222, 1228, 502
223, 1144, 222, 1228, 502
224, 1144, 222, 1228, 502
225, 1144, 224, 1228, 504
226, 1144, 222, 1228, 502
227, 1144, 222, 1228, 502
228, 1144, 222, 1228, 502
229, 1144, 222, 1228, 502
230, 1144, 222, 1228, 502
231, 1144, 222, 1228, 502
232, 1144, 222, 1228, 502
233, 1144, 222, 1228, 502
234, 1144, 222, 1228, 502
235, 1144, 222, 1228, 502
236, 1144, 222, 1228, 502
237, 1144, 224, 1228, 504
238, 1144, 222, 1228, 502
239, 1144, 222, 1228, 502
240, 1144, 222, 1228, 502
241, 1144, 222, 1228, 502
242, 1144, 222, 1228, 502
243, 1144, 222, 1228, 502
244, 1144, 222, 1228, 502
245, 1144, 222, 1228, 502
246, 1144, 222, 1228, 502
247, 1144, 222, 1228, 502
248, 1144, 222, 1228, 502
249, 1144, 222, 1228, 502
250, 1144, 222, 1228, 502
251, 1144, 222, 1228, 502
252, 1144, 222, 1228, 502
253, 1144, 222, 1228, 502
254, 1144, 222, 1228, 502
255, 1144, 222, 1228, 502
256, 1144, 222, 1228, 502
257, 1144, 222, 1228, 502
258, 1144, 222, 1228, 502
259, 1144, 222, 1228, 502
260, 1144, 222, 1228, 502
261, 1144, 222, 1228, 502
262, 0, 0, 0, 0
263, 0, 0, 0, 0
264, 0, 0, 0, 0
265, 0, 0, 0, 0
266, 0, 0, 0, 0
267, 0, 0, 0, 0
268, 0, 0, 0, 0
269, 0, 0, 0, 0
270, 0, 0, 0, 0
271, 0, 0, 0, 0
272, 0, 0, 0, 0
273, 0, 0, 0, 0
274, 0, 0, 0, 0
275, 0, 0, 0, 0
276, 0, 0, 0, 0
277, 0, 0, 0, 0
278, 0, 0, 0, 0
279, 0, 0, 0, 0
280, 0, 0, 0, 0
281, 0, 0, 0, 0
282, 0, 0, 0, 0
283, 0, 0, 0, 0
284, 0, 0, 0, 0
285, 0, 0, 0, 0
286, 0, 0, 0, 0
287, 0, 0, 0, 0
288, 0, 0, 0, 0
289, 0, 0, 0, 0
290, 0, 0, 0, 0
291, 0, 0, 0, 0
